0	3	0
3	6	1
6	12	2
12	21	3
21	33	4
33	48	5
48	66	6
66	87	7
87	111	8
111	138	9
138	168	10
168	201	11
201	237	12
237	276	13
276	318	14
318	363	15
363	411	16
411	462	17
462	516	18
516	573	19
573	633	20
633	696	21
696	762	22
762	831	23
831	903	24
903	978	25
978	1056	26
1056	1137	27
1137	1221	28
1221	1308	29
1308	1398	30
1398	1491	31
1491	1587	32
1587	1686	33
1686	1788	34
1788	1893	35
1893	2001	36
2001	2112	37
2112	2226	38
2226	2343	39
2343	2463	40
2463	2586	41
2586	2712	42
2712	2841	43
2841	2973	44
2973	3108	45
3108	3246	46
3246	3387	47
3387	3531	48
3531	3678	49
3678	3828	50
3828	3981	51
3981	4137	52
4137	4296	53
4296	4458	54
4458	4623	55
4623	4791	56
4791	4962	57
4962	5136	58
5136	5313	59
5313	5493	60
5493	5676	61
5676	5862	62
5862	6051	63
6051	6243	64
6243	6438	65
6438	6636	66
6636	6837	67
6837	7041	68
7041	7248	69
7248	7458	70
7458	7671	71
7671	7887	72
7887	8106	73
8106	8328	74
8328	8553	75
8553	8781	76
8781	9012	77
9012	9246	78
9246	9483	79
9483	9723	80
9723	9966	81
9966	10212	82
10212	10461	83
10461	10713	84
10713	10968	85
10968	11226	86
11226	11487	87
11487	11751	88
11751	12018	89
12018	12288	90
12288	12561	91
12561	12837	92
12837	13116	93
13116	13398	94
13398	13683	95
13683	13971	96
13971	14262	97
14262	14556	98
14556	15000	99
15000	99999999	100
